x	y	c
 0	 0	0
 1	 0	1
 2	 0	2
 3	 0	0
 4	 0	3
 5	 0	7
 6	 0	2
 7	 0	1
 8	 0	2
 9	 0	0
 0	 1	0
 1	 1	1
 2	 1	1
 3	 1	2
 4	 1	4
 5	 1	2
 6	 1	1
 7	 1	1
 8	 1	5
 9	 1	1
 0	 2	2
 1	 2	0
 2	 2	1
 3	 2	0
 4	 2	1
 5	 2	2
 6	 2	1
 7	 2	1
 8	 2	3
 9	 2	1
 0	 3	1
 1	 3	0
 2	 3	0
 3	 3	0
 4	 3	2
 5	 3	0
 6	 3	4
 7	 3	2
 8	 3	1
 9	 3	1
 0	 4	1
 1	 4	1
 2	 4	1
 3	 4	1
 4	 4	2
 5	 4	2
 6	 4	3
 7	 4	2
 8	 4	3
 9	 4	2
 0	 5	0
 1	 5	2
 2	 5	3
 3	 5	2
 4	 5	1
 5	 5	1
 6	 5	8
 7	 5	3
 8	 5	2
 9	 5	1
 0	 6	1
 1	 6	3
 2	 6	1
 3	 6	1
 4	 6	3
 5	 6	3
 6	 6	5
 7	 6	4
 8	 6	4
 9	 6	2
 0	 7	2
 1	 7	2
 2	 7	1
 3	 7	3
 4	 7	2
 5	 7	0
 6	 7	1
 7	 7	2
 8	 7	1
 9	 7	1
 0	 8	0
 1	 8	3
 2	 8	2
 3	 8	3
 4	 8	0
 5	 8	1
 6	 8	2
 7	 8	2
 8	 8	1
 9	 8	1
 0	 9	1
 1	 9	2
 2	 9	2
 3	 9	1
 4	 9	4
 5	 9	8
 6	 9	0
 7	 9	0
 8	 9	0
 9	 9	2
