x	y	c
 0	 0	0
 1	 0	1
 2	 0	0
 3	 0	0
 4	 0	6
 5	 0	5
 6	 0	0
 7	 0	0
 8	 0	0
 9	 0	0
 0	 1	1
 1	 1	1
 2	 1	0
 3	 1	0
 4	 1	7
 5	 1	0
 6	 1	4
 7	 1	1
 8	 1	0
 9	 1	0
 0	 2	1
 1	 2	0
 2	 2	2
 3	 2	2
 4	 2	2
 5	 2	4
 6	 2	7
 7	 2	1
 8	 2	2
 9	 2	2
 0	 3	0
 1	 3	1
 2	 3	3
 3	 3	3
 4	 3	3
 5	 3	5
 6	 3	2
 7	 3	3
 8	 3	6
 9	 3	0
 0	 4	0
 1	 4	0
 2	 4	1
 3	 4	5
 4	 4	4
 5	 4	2
 6	 4	2
 7	 4	5
 8	 4	1
 9	 4	2
 0	 5	0
 1	 5	0
 2	 5	3
 3	 5	11
 4	 5	5
 5	 5	4
 6	 5	3
 7	 5	4
 8	 5	4
 9	 5	0
 0	 6	0
 1	 6	2
 2	 6	2
 3	 6	2
 4	 6	2
 5	 6	3
 6	 6	10
 7	 6	2
 8	 6	1
 9	 6	1
 0	 7	1
 1	 7	1
 2	 7	0
 3	 7	2
 4	 7	1
 5	 7	3
 6	 7	7
 7	 7	9
 8	 7	1
 9	 7	0
 0	 8	1
 1	 8	1
 2	 8	0
 3	 8	6
 4	 8	3
 5	 8	2
 6	 8	3
 7	 8	2
 8	 8	3
 9	 8	0
 0	 9	0
 1	 9	0
 2	 9	2
 3	 9	1
 4	 9	11
 5	 9	7
 6	 9	4
 7	 9	2
 8	 9	0
 9	 9	0
